p,r,G4,d,d_factors,pure_iii,obstruction,blocking_q,blocking_class
862409,1724819,57,0,,False,order_excess,0,
864911,67329861707,57,0,,False,order_excess,0,
865177,195530003,251,0,,False,order_excess,0,
865307,240555347,99,0,,False,order_excess,0,
865829,1731659,57,0,,False,order_excess,0,
868727,429151139,99,0,,False,order_excess,0,
868727,4724137427,57,0,,False,order_excess,0,
868799,65526558179,57,0,,False,order_excess,0,
869717,4169423299,211,0,,False,order_excess,0,
870031,193146883,59,0,,False,order_excess,0,
874721,1749443,57,0,,False,order_excess,0,
875947,717994485067,59,0,,False,order_excess,0,
880553,1761107,129,0,,False,order_excess,0,
882389,1764779,201,0,,False,order_excess,0,
883433,977076899,171,0,,False,order_excess,0,
891557,11014295179,281,0,,False,order_excess,0,
894161,152007371,171,0,,False,order_excess,0,
895241,1790483,57,0,,False,order_excess,0,
898613,1797227,129,0,,False,order_excess,0,
903449,1806899,57,0,,False,order_excess,0,
906869,1813739,57,0,,False,order_excess,0,
908363,78119219,921,0,,False,order_excess,0,
908759,12722627,57,0,,False,order_excess,0,
914327,883239883,251,0,,False,order_excess,0,
916319,365338217939,57,0,,False,order_excess,0,
916841,705967571,57,0,,False,order_excess,0,
917971,64257971,2411,0,,False,order_excess,0,
919613,248804975603,57,0,,False,order_excess,0,
927587,128687854859,2979,0,,False,order_excess,0,
927791,72367699,83,0,,False,order_excess,0,
934067,13076939,57,0,,False,order_excess,0,
934229,1868459,57,0,,False,order_excess,0,
937901,1875803,489,0,,False,order_excess,0,
938507,6207285299,6843,0,,False,order_excess,0,
949961,1899923,57,0,,False,order_excess,0,
951829,9518291,107,0,,False,order_excess,0,
953171,718597523243,129,0,,False,order_excess,0,
963629,1927259,129,0,,False,order_excess,0,
969113,1938227,57,0,,False,order_excess,0,
970061,1940123,321,0,,False,order_excess,0,
970829,1941659,201,0,,False,order_excess,0,
974417,960775163,993,0,,False,order_excess,0,
977087,2663539163,99,0,,False,order_excess,0,
978689,1957379,57,0,,False,order_excess,0,
981653,25522979,182307,0,,False,order_excess,0,
986267,17174853539,171,0,,False,order_excess,0,
988067,274682627,99,0,,False,order_excess,0,
997949,54250503539,57,0,,False,order_excess,0,
999749,1999499,129,0,,False,order_excess,0,
1002467,14034539,57,0,,False,order_excess,0,
1004537,435969059,57,0,,False,order_excess,0,
1004687,6028123,67,0,,False,order_excess,0,
1008229,7398384403,683,0,,False,order_excess,0,
1009627,94547530043,913,0,,False,order_excess,0,
1011917,19260828179,99,0,,False,order_excess,0,
1014113,440125043,57,0,,False,order_excess,0,
1015463,14216483,57,0,,False,order_excess,0,
1015843,176756683,59,0,,False,order_excess,0,
1016237,123243125939,99,0,,False,order_excess,0,
1020413,2040827,57,0,,False,order_excess,0,
1025669,33972208619,57,0,,False,order_excess,0,
1029989,2059979,57,0,,False,order_excess,0,
1036327,4972296947,251,0,,False,order_excess,0,
1038251,89289587,57,0,,False,order_excess,0,
1039187,14548619,129,0,,False,order_excess,0,
1039481,2078963,129,0,,False,order_excess,0,
1040783,31587764051,129,0,,False,order_excess,0,
1041617,27082043,99,0,,False,order_excess,0,
1047077,77483699,753,0,,False,order_excess,0,
1047647,6285883,209,0,,False,order_excess,0,
1047773,2095547,57,0,,False,order_excess,0,
1049897,321268483,67,0,,False,order_excess,0,
1050509,2101019,57,0,,False,order_excess,0,
1057541,2115083,129,0,,False,order_excess,0,
1058663,797924889731,57,0,,False,order_excess,0,
1065347,14914859,993,0,,False,order_excess,0,
1075601,2151203,48891,0,,False,order_excess,0,
1079213,2158427,129,0,,False,order_excess,0,
1081127,15135779,627,0,,False,order_excess,0,
1083337,10833371,121,0,,False,order_excess,0,
1083377,28167803,513,0,,False,order_excess,0,
1084133,8016079403,57,0,,False,order_excess,0,
1084673,80265803,57,0,,False,order_excess,0,
1094969,2189939,57,0,,False,order_excess,0,
1100273,28607099,1713,0,,False,order_excess,0,
1100279,15403907,57,0,,False,order_excess,0,
1100513,134262587,57,0,,False,order_excess,0,
1103017,307938080027,59,0,,False,order_excess,0,
1105337,53261768683,211,0,,False,order_excess,0,
1107383,37436189699,201,0,,False,order_excess,0,
1112333,2224667,201,0,,False,order_excess,0,
1112483,1403953547,57,0,,False,order_excess,0,
1113491,198118999667,57,0,,False,order_excess,0,
1118147,4336174067,633,0,,False,order_excess,0,
1120961,2241923,57,0,,False,order_excess,0,
1124027,15736379,6963,0,,False,order_excess,0,
1124867,650530833707,57,0,,False,order_excess,0,
1129169,2258339,57,0,,False,order_excess,0,
1129853,2259707,57,0,,False,order_excess,0,
1142507,15995099,4323,0,,False,order_excess,0,
1144901,2289803,57,0,,False,order_excess,0,
1147387,686137427,83,0,,False,order_excess,0,
1152317,397192146731,171,0,,False,order_excess,0,
1153721,57686051,57,0,,False,order_excess,0,
1154513,465945283619,171,0,,False,order_excess,0,
1156553,2313107,201,0,,False,order_excess,0,
1159787,16237019,57,0,,False,order_excess,0,
1159967,990611819,99,0,,False,order_excess,0,
1167473,2334947,57,0,,False,order_excess,0,
1167653,5607069707,57,0,,False,order_excess,0,
1167833,226559603,129,0,,False,order_excess,0,
1168841,2337683,57,0,,False,order_excess,0,
1170209,2340419,57,0,,False,order_excess,0,
1172261,2344523,57,0,,False,order_excess,0,
1183241,30764267,171,0,,False,order_excess,0,
1183961,2367923,129,0,,False,order_excess,0,
1189901,6484960451,57,0,,False,order_excess,0,
1195361,2390723,537,0,,False,order_excess,0,
1198927,1954251011,4051,0,,False,order_excess,0,
1200611,7203667,107,0,,False,order_excess,0,
1202027,8498330891,753,0,,False,order_excess,0,
1202321,50528742347,57,0,,False,order_excess,0,
1205977,426915859,251,0,,False,order_excess,0,
1210883,1053468211,139,0,,False,order_excess,0,
1211897,31509323,297,0,,False,order_excess,0,
1213301,2426603,57,0,,False,order_excess,0,
1215923,116132805731,129,0,,False,order_excess,0,
1224701,707877179,129,0,,False,order_excess,0,
1230401,2460803,57,0,,False,order_excess,0,
1235137,12351371,7513,0,,False,order_excess,0,
1235369,150707605787,171,0,,False,order_excess,0,
1242029,2484059,57,0,,False,order_excess,0,
1244729,92109947,57,0,,False,order_excess,0,
1245449,2490899,57,0,,False,order_excess,0,
1246313,126129368227,67,0,,False,order_excess,0,
1246673,301694867,81,0,,False,order_excess,0,
1248869,2497739,57,0,,False,order_excess,0,
1249427,37230425747,171,0,,False,order_excess,0,
1250237,32506163,13257,0,,False,order_excess,0,
1250351,7502107,139,0,,False,order_excess,0,
1256201,2512403,129,0,,False,order_excess,0,
1256681,22620259,361,0,,False,order_excess,0,
1259129,2518259,57,0,,False,order_excess,0,
1261531,468358522123,59,0,,False,order_excess,0,
1264199,1898826899,201,0,,False,order_excess,0,
1265987,412711763,129,0,,False,order_excess,0,
1273127,1535391163,331,0,,False,order_excess,0,
1278227,5171706443,57,0,,False,order_excess,0,
1283069,2566139,57,0,,False,order_excess,0,
1283771,541751363,1467,0,,False,order_excess,0,
1288541,2577083,57,0,,False,order_excess,0,
1288649,261031318739,171,0,,False,order_excess,0,
1289423,131521147,1747,0,,False,order_excess,0,
1293329,2586659,57,0,,False,order_excess,0,
1295309,64765451,57,0,,False,order_excess,0,
1314821,2629643,1257,0,,False,order_excess,0,
1320887,272102723,171,0,,False,order_excess,0,
1325491,92784371,83,0,,False,order_excess,0,
1328213,2656427,57,0,,False,order_excess,0,
1331327,274253363,99,0,,False,order_excess,0,
1331633,2663267,57,0,,False,order_excess,0,
1334603,428073912251,171,0,,False,order_excess,0,
1340753,2681507,1857,0,,False,order_excess,0,
1343717,3894091867,331,0,,False,order_excess,0,
1348733,4307853203,171,0,,False,order_excess,0,
1350911,148600211,249,0,,False,order_excess,0,
1351121,2702243,201,0,,False,order_excess,0,
1353137,7536973091,1419,0,,False,order_excess,0,
1363781,2727563,57,0,,False,order_excess,0,
1366801,276093803,59,0,,False,order_excess,0,
1377653,2755307,201,0,,False,order_excess,0,
1377659,46143310547,57,0,,False,order_excess,0,
1378271,453227879099,57,0,,False,order_excess,0,
1378721,4337456267,57,0,,False,order_excess,0,
1379513,2759027,57,0,,False,order_excess,0,
1381069,544141187,59,0,,False,order_excess,0,
1384247,63473261939,99,0,,False,order_excess,0,
1387927,108258307,251,0,,False,order_excess,0,
1388077,7709379659,251,0,,False,order_excess,0,
1392407,75189979,281,0,,False,order_excess,0,
1396613,2793227,57,0,,False,order_excess,0,
